identifiant_de_document,reference_document,date_mutation,nature_mutation,valeur_fonciere,no_voie,btq,type_de_voie,code_voie,voie,code_postal,commune,code_departement,code_commune,prefixe_de_section,section,no_plan,no_volume,lot1,surface_carrez_lot1,lot2,surface_carrez_lot2,lot3,surface_carrez_lot3,lot4,surface_carrez_lot4,lot5,surface_carrez_lot5,nombre_de_lots,code_type_local,type_local,identifiant_local,surface_reelle_bati,nombre_pieces_principales,nature_culture,nature_culture_speciale,surface_terrain
,,,,8266935.5,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,2.0,,,135.0,6.0,,,874.0
,,,,1462200.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,4.0,,,39.0,0.0,,,597.0
,,,,1462200.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,165.0,6.0,,,597.0
,,,,565000.0,,,,,,94140.0,,94,2,,,,,,,,,,,,,,,,1.0,,,89.0,4.0,,,165.0
,,,,590000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,1.0,,,55.0,3.0,,,254.0
,,,,590000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,2.0,,,25.0,1.0,,,254.0
,,,,250000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,1.0,,,112.0,5.0,,,365.0
,,,,200036.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,127.0,6.0,,,370.0
,,,,889950.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,107.0,5.0,,,267.0
,,,,900000.0,,,,,,94000.0,,94,28,,,,,,,,,,,,,,,,1.0,,,124.0,4.0,,,710.0
,,,,720000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,67.0,4.0,,,140.0
,,,,702700.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,80.0,3.0,,,203.0
,,,,765000.0,,,,,,94000.0,,94,28,,,,,,,,,,,,,,,,1.0,,,229.0,4.0,,,435.0
,,,,870000.0,,,,,,94410.0,,94,69,,,,,,,,,,,,,,,,1.0,,,130.0,6.0,,,346.0
,,,,2000000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,235.0,9.0,,,296.0
,,,,2000000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,235.0,9.0,,,1106.0
,,,,1060000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,153.0,5.0,,,393.0
,,,,545000.0,,,,,,94140.0,,94,2,,,,,,,,,,,,,,,,1.0,,,88.0,5.0,,,243.0
,,,,500000.0,,,,,,94000.0,,94,28,,,,,,,,,,,,,,,,1.0,,,130.0,5.0,,,259.0
,,,,1600000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,285.0,10.0,,,500.0
