property_value,street_number,street_type,street_name,postal_code,town_name,department_code,property_type,building_area,main_rooms,land_area,year
370000,16,RUE,GUILLAUME APOLLINAIRE,93200,SAINT-DENIS,93,Dépendance,0,0,266,2022
370000,16,RUE,GUILLAUME APOLLINAIRE,93200,SAINT-DENIS,93,Maison,62,3,266,2022
222000,31,AV,EDMOND HURTRET,93250,VILLEMOMBLE,93,Maison,60,4,197,2022
222000,31,AV,EDMOND HURTRET,93250,VILLEMOMBLE,93,Dépendance,0,0,197,2022
295000,7,AV,DES PINSONS,93420,VILLEPINTE,93,Maison,100,5,693,2022
370000,12,RUE,DE LA LIBERATION,93700,DRANCY,93,Maison,133,5,330,2022
235000,51,AV,DES ROSES,93420,VILLEPINTE,93,Dépendance,0,0,347,2022
235000,51,AV,DES ROSES,93420,VILLEPINTE,93,Maison,54,3,347,2022
441700,51,RUE,DES CLOCHETTES,93150,LE BLANC-MESNIL,93,Maison,150,6,397,2022
111900000,23,RUE,DES BATELIERS,93400,SAINT-OUEN-SUR-SEINE,93,Local industriel. commercial ou assimilé,15658,0,4050,2022
167000,17,AV,DU GENERAL LECLERC,93420,VILLEPINTE,93,Dépendance,0,0,237,2022
552040,227,AV,JEAN JAURES,93300,AUBERVILLIERS,93,Local industriel. commercial ou assimilé,388,0,243,2022
300000,113,AV,ARISTIDE BRIAND,93320,LES PAVILLONS-SOUS-BOIS,93,Dépendance,0,0,527,2022
300000,113,AV,ARISTIDE BRIAND,93320,LES PAVILLONS-SOUS-BOIS,93,Maison,77,4,527,2022
260000,6,ALL,DES COURTS SILLONS,93140,BONDY,93,Maison,70,4,141,2022
260000,6,ALL,DES COURTS SILLONS,93140,BONDY,93,Dépendance,0,0,141,2022
715000,5,IMP,SIMON,93400,SAINT-OUEN-SUR-SEINE,93,Dépendance,0,0,51,2022
715000,5,IMP,SIMON,93400,SAINT-OUEN-SUR-SEINE,93,Appartement,37,1,51,2022
715000,5,IMP,SIMON,93400,SAINT-OUEN-SUR-SEINE,93,Local industriel. commercial ou assimilé,70,0,51,2022
350000,22,CRS,DE LA REPUBLIQUE,93140,BONDY,93,Maison,107,5,240,2022
65000,62,AV,GAMBETTA,93150,LE BLANC-MESNIL,93,Maison,60,2,464,2022
1250200,44,AV,DU PRESIDENT WILSON,93100,MONTREUIL,93,Local industriel. commercial ou assimilé,110,0,178,2022
1250200,44,AV,DU PRESIDENT WILSON,93100,MONTREUIL,93,Appartement,43,3,178,2022
1250200,44,AV,DU PRESIDENT WILSON,93100,MONTREUIL,93,Local industriel. commercial ou assimilé,80,0,178,2022
1250200,44,AV,DU PRESIDENT WILSON,93100,MONTREUIL,93,Appartement,36,3,178,2022
