transaction_date,transaction_type,property_value,street_number,street_type,street_name,postal_code,town_name,department_code,town_code,property_type_code,property_type,building_area,main_rooms,land_area
17/03/2021,Vente,700000,29,AV,DE LA REVOLUTION FRANCAISE,94210,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,99,4,303
12/03/2021,Vente,472000,227,AV,GAMBETTA,94700,MAISONS-ALFORT,94,46,4,Local industriel. commercial ou assimilé,325,0,325
10/03/2021,Vente,1153700,101,AV,DU MESNIL,94210,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,120,4,291
09/03/2021,Vente,647000,15,RUE,HUIT MAI 1945,94700,MAISONS-ALFORT,94,46,1,Maison,68,3,135
10/03/2021,Vente,805000,13,RUE,VOLTAIRE,94140,ALFORTVILLE,94,2,1,Maison,176,6,395
05/03/2021,Vente,300000,19,RUE,DES PINSONS,94000,CRETEIL,94,28,1,Maison,70,3,85
01/03/2021,Vente,1352500,26,AV,FOCH,94340,JOINVILLE-LE-PONT,94,42,1,Maison,180,7,375
17/03/2021,Vente,1600000,119,QUAI,WINSTON CHURCHILL,94210,SAINT-MAUR-DES-FOSSES,94,68,4,Local industriel. commercial ou assimilé,775,0,685
12/03/2021,Vente,749000,16,CHE,DU BRAS DU CHAPITRE,94000,CRETEIL,94,28,1,Maison,80,3,210
02/03/2021,Vente,1150000,30,RUE,ROCHAMBEAU,94210,SAINT-MAUR-DES-FOSSES,94,68,2,Appartement,45,3,465
02/03/2021,Vente,1150000,30,RUE,ROCHAMBEAU,94210,SAINT-MAUR-DES-FOSSES,94,68,3,Dépendance,0,0,465
02/03/2021,Vente,1150000,30,RUE,ROCHAMBEAU,94210,SAINT-MAUR-DES-FOSSES,94,68,2,Appartement,36,2,465
02/03/2021,Vente,1150000,30,RUE,ROCHAMBEAU,94210,SAINT-MAUR-DES-FOSSES,94,68,2,Appartement,23,2,465
02/03/2021,Vente,1150000,30,RUE,ROCHAMBEAU,94210,SAINT-MAUR-DES-FOSSES,94,68,2,Appartement,28,2,465
02/03/2021,Vente,1150000,30,RUE,ROCHAMBEAU,94210,SAINT-MAUR-DES-FOSSES,94,68,2,Appartement,42,2,465
02/03/2021,Vente,1150000,30,RUE,ROCHAMBEAU,94210,SAINT-MAUR-DES-FOSSES,94,68,2,Appartement,35,2,465
02/03/2021,Vente,1150000,30,RUE,ROCHAMBEAU,94210,SAINT-MAUR-DES-FOSSES,94,68,2,Appartement,33,2,465
23/02/2021,Vente,1031000,17,AV,DU CHATEAU,94210,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,130,5,402
05/03/2021,Vente,670000,24,RUE,PIERRE ALLAIRE,94340,JOINVILLE-LE-PONT,94,42,1,Maison,92,3,269
25/03/2021,Vente,328000,85,RUE,JULIETTE SAVAR,94000,CRETEIL,94,28,1,Maison,114,4,360
09/03/2021,Vente,320000,26,AV,JEAN BAPTISTE CHAMPEVAL,94000,CRETEIL,94,28,1,Maison,50,3,257
22/03/2021,Vente,793000,107,RUE,MAL DE LATTRE DE TASSIGNY,94700,MAISONS-ALFORT,94,46,1,Maison,76,4,493
25/03/2021,Vente,800000,31,AV,DES LACS,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,76,4,654
16/03/2021,Vente,1045000,15,AV,DES PILIERS,94210,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,225,7,753
10/03/2021,Vente,600000,40,RUE,ALFRED DE MUSSET,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,185,6,601
22/03/2021,Vente,1300000,25,AV,DU GENERAL LECLERC,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,190,7,978
22/03/2021,Vente,1300000,25,AV,DU GENERAL LECLERC,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,45,2,978
22/03/2021,Vente,1300000,25,AV,DU GENERAL LECLERC,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,30,1,978
25/03/2021,Vente,460000,2,AV,BARBES,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,71,2,183
15/03/2021,Vente,710000,32,AV,HENRI MARTIN,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,95,4,285
09/03/2021,Vente,1100000,6,AV,DES SAPINS,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,180,7,600
10/03/2021,Vente,420000,12,PL,DE NEUFLIZE,94000,CRETEIL,94,28,1,Maison,65,3,263
26/03/2021,Vente,805000,95,AV,DU CENTENAIRE,94210,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,30,1,456
26/03/2021,Vente,805000,95,AV,DU CENTENAIRE,94210,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,120,5,456
11/03/2021,Vente,520000,23,RUE,JEAN COLLY,94140,ALFORTVILLE,94,2,1,Maison,108,5,195
29/03/2021,Vente,870000,10,AV,LITTRE,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,110,5,349
29/03/2021,Vente,880000,71,RUE,DU DOCTEUR ROUX,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,141,5,473
03/03/2021,Vente,400000,8,RUE,DE LA FEDERATION,94700,MAISONS-ALFORT,94,46,2,Appartement,28,2,123
03/03/2021,Vente,400000,8,RUE,DE LA FEDERATION,94700,MAISONS-ALFORT,94,46,2,Appartement,27,1,123
03/03/2021,Vente,400000,8,RUE,DE LA FEDERATION,94700,MAISONS-ALFORT,94,46,2,Appartement,22,1,123
03/03/2021,Vente,400000,8,RUE,DE LA FEDERATION,94700,MAISONS-ALFORT,94,46,3,Dépendance,0,0,123
03/03/2021,Vente,400000,8,RUE,DE LA FEDERATION,94700,MAISONS-ALFORT,94,46,2,Appartement,33,2,123
10/03/2021,Vente,318000,35,AV,DE BOISSY,94380,BONNEUIL-SUR-MARNE,94,11,1,Maison,74,4,395
05/03/2021,Vente,1162000,59,RUE,GRANDE CEINTURE,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,191,10,612
05/03/2021,Vente,1162000,59,RUE,GRANDE CEINTURE,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,191,10,293
30/03/2021,Vente,1579700,30,AV,DU ONZE NOVEMBRE,94210,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,210,5,479
30/03/2021,Vente,1579700,30,AV,DU ONZE NOVEMBRE,94210,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,210,5,599
15/03/2021,Vente,560000,7,RUE,DE SAVOIE,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,63,3,173
16/03/2021,Vente,579885,37,RUE,DES MARGUERITES,94140,ALFORTVILLE,94,2,1,Maison,122,6,147
15/03/2021,Vente,620000,18,RUE,PARMENTIER,94700,MAISONS-ALFORT,94,46,1,Maison,80,4,121
31/03/2021,Vente,650000,29,AV,DE LA REVOLUTION FRANCAISE,94210,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,94,5,372
24/03/2021,Vente,1010000,38,RUE,D AIX,94700,MAISONS-ALFORT,94,46,1,Maison,150,6,351
01/04/2021,Vente,1020000,166,RUE,LEDRU ROLLIN,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,164,6,835
01/04/2021,Vente,1020000,166,RUE,LEDRU ROLLIN,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,164,6,162
15/03/2021,Vente,372350,14,RUE,DE BRUXELLES,94700,MAISONS-ALFORT,94,46,1,Maison,56,3,250
23/03/2021,Vente,2000000,1,AV,DE LA VILLA ANTONY,94410,ST MAURICE,94,69,4,Local industriel. commercial ou assimilé,40,0,787
23/03/2021,Vente,2000000,1,AV,DE LA VILLA ANTONY,94410,ST MAURICE,94,69,4,Local industriel. commercial ou assimilé,34,0,787
23/03/2021,Vente,2000000,1,AV,DE LA VILLA ANTONY,94410,ST MAURICE,94,69,4,Local industriel. commercial ou assimilé,507,0,787
23/03/2021,Vente,2000000,1,AV,DE LA VILLA ANTONY,94410,ST MAURICE,94,69,4,Local industriel. commercial ou assimilé,86,0,787
23/03/2021,Vente,2000000,1,AV,DE LA VILLA ANTONY,94410,ST MAURICE,94,69,4,Local industriel. commercial ou assimilé,61,0,787
23/03/2021,Vente,2000000,1,AV,DE LA VILLA ANTONY,94410,ST MAURICE,94,69,4,Local industriel. commercial ou assimilé,438,0,787
23/03/2021,Vente,2000000,1,AV,DE LA VILLA ANTONY,94410,ST MAURICE,94,69,4,Local industriel. commercial ou assimilé,72,0,787
23/03/2021,Vente,2000000,1,AV,DE LA VILLA ANTONY,94410,ST MAURICE,94,69,4,Local industriel. commercial ou assimilé,73,0,787
23/03/2021,Vente,2000000,1,AV,DE LA VILLA ANTONY,94410,ST MAURICE,94,69,4,Local industriel. commercial ou assimilé,75,0,787
29/03/2021,Vente,704344,53,RUE,DE STRASBOURG,94700,MAISONS-ALFORT,94,46,1,Maison,126,5,340
24/03/2021,Vente,390450,107,RUE,PASTEUR,94380,BONNEUIL-SUR-MARNE,94,11,1,Maison,70,3,480
06/04/2021,Vente,707500,47,BD,DE BELLECHASSE,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,86,3,206
24/03/2021,Vente,710000,22,RUE,DU PARC,94000,CRETEIL,94,28,1,Maison,110,6,300
06/04/2021,Vente,459800,11,RUE,MONFRAY,94000,CRETEIL,94,28,1,Maison,85,6,272
29/03/2021,Vente,785000,33,AV,JOYEUSE,94340,JOINVILLE-LE-PONT,94,42,1,Maison,101,5,262
01/04/2021,Vente,753800,14,BD,DE CHAMPIGNY,94210,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,106,5,402
06/04/2021,Vente,1550000,50,AV,JOFFRE,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,156,6,20
06/04/2021,Vente,1550000,50,AV,JOFFRE,94100,SAINT-MAUR-DES-FOSSES,94,68,4,Local industriel. commercial ou assimilé,0,0,246
06/04/2021,Vente,1550000,50,AV,JOFFRE,94100,SAINT-MAUR-DES-FOSSES,94,68,4,Local industriel. commercial ou assimilé,9,0,246
06/04/2021,Vente,1550000,50,AV,JOFFRE,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,156,6,246
06/04/2021,Vente,1550000,50,AV,JOFFRE,94100,SAINT-MAUR-DES-FOSSES,94,68,4,Local industriel. commercial ou assimilé,0,0,20
06/04/2021,Vente,1550000,50,AV,JOFFRE,94100,SAINT-MAUR-DES-FOSSES,94,68,4,Local industriel. commercial ou assimilé,9,0,20
10/03/2021,Vente,420000,107,RUE,DES ECOLES,94000,CRETEIL,94,28,1,Maison,66,3,462
29/03/2021,Vente,50008,7,IMP,FIOCRE,94700,MAISONS-ALFORT,94,46,1,Maison,66,4,423
17/03/2021,Vente,1090000,19,RUE,EUGENE SUE,94700,MAISONS-ALFORT,94,46,2,Appartement,21,1,444
17/03/2021,Vente,1090000,19,RUE,EUGENE SUE,94700,MAISONS-ALFORT,94,46,2,Appartement,34,2,444
17/03/2021,Vente,1090000,19,RUE,EUGENE SUE,94700,MAISONS-ALFORT,94,46,2,Appartement,20,1,444
17/03/2021,Vente,1090000,19,RUE,EUGENE SUE,94700,MAISONS-ALFORT,94,46,2,Appartement,28,2,444
17/03/2021,Vente,1090000,19,RUE,EUGENE SUE,94700,MAISONS-ALFORT,94,46,2,Appartement,51,3,444
17/03/2021,Vente,1090000,19,RUE,EUGENE SUE,94700,MAISONS-ALFORT,94,46,2,Appartement,41,3,444
17/03/2021,Vente,1090000,19,RUE,EUGENE SUE,94700,MAISONS-ALFORT,94,46,3,Dépendance,0,0,444
12/04/2021,Vente,480000,40,AV,FRANCOIS ADAM,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,70,3,179
09/04/2021,Vente,620000,48,BD,DES CORNEILLES,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,84,4,174
06/04/2021,Vente,510000,9,RUE,DES FONTENELLES,94000,CRETEIL,94,28,1,Maison,137,8,499
12/04/2021,Vente,305000,10,RUE,DE LA LUNE,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,46,3,189
12/04/2021,Vente,930000,51,RUE,MARIGNAN,94210,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,137,5,398
25/03/2021,Vente,442000,14,VLA,LEFORT,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,44,2,169
01/04/2021,Vente,360000,1,RUE,DE LA CONCORDE,94700,MAISONS-ALFORT,94,46,4,Local industriel. commercial ou assimilé,120,0,134
01/04/2021,Vente,360000,1,RUE,DE LA CONCORDE,94700,MAISONS-ALFORT,94,46,2,Appartement,82,5,134
01/04/2021,Vente,360000,1,RUE,DE LA CONCORDE,94700,MAISONS-ALFORT,94,46,2,Appartement,30,2,134
29/03/2021,Vente,1174550,17,AV,DU NORD,94100,SAINT-MAUR-DES-FOSSES,94,68,4,Local industriel. commercial ou assimilé,20,0,626
29/03/2021,Vente,1174550,17,AV,DU NORD,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,138,7,626
02/04/2021,Vente,1040000,129,RUE,CHEVREUL,94700,MAISONS-ALFORT,94,46,1,Maison,112,4,433
12/04/2021,Vente,590000,3,RUE,DE BRETEUIL,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,81,5,240
12/04/2021,Vente,905000,82,BD,DE LA MARNE,94210,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,154,7,797
13/04/2021,Vente,840000,30,AV,ARAGO,94340,JOINVILLE-LE-PONT,94,42,1,Maison,124,5,338
09/04/2021,Vente,1600000,20,RUE,VAILLANT COUTURIER,94140,ALFORTVILLE,94,2,4,Local industriel. commercial ou assimilé,733,0,251
02/04/2021,Vente,490000,11,IMP,DU VAL DE MARNE,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,61,3,217
08/04/2021,Vente,722000,37,AV,DE LA TOURELLE,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,62,3,469
02/04/2021,Vente,808300,16,RUE,VAUBAN,94340,JOINVILLE-LE-PONT,94,42,1,Maison,90,4,127
07/04/2021,Vente,561150,18,AV,DU RAINCY,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,96,3,156
15/04/2021,Vente,721400,95,AV,DU MESNIL,94210,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,85,4,197
26/03/2021,Vente,550000,1,RUE,BAYON,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,55,3,182
19/04/2021,Vente,1400000,31,RUE,MARGUERITE,94210,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,200,7,729
12/04/2021,Vente,866600,43,AV,DE L EST,94100,SAINT-MAUR-DES-FOSSES,94,68,1,Maison,110,4,240
25/03/2021,Vente,375000,6,RUE,DES ECOLES,94380,BONNEUIL-SUR-MARNE,94,11,1,Maison,72,5,373
06/04/2021,Vente,141071,48,RUE,PARMENTIER,94210,SAINT-MAUR-DES-FOSSES,94,68,3,Dépendance,0,0,391
06/04/2021,Vente,141071,48,RUE,PARMENTIER,94210,SAINT-MAUR-DES-FOSSES,94,68,2,Appartement,58,3,391
06/04/2021,Vente,141071,48,RUE,PARMENTIER,94210,SAINT-MAUR-DES-FOSSES,94,68,2,Appartement,51,3,391
06/04/2021,Vente,141071,48,RUE,PARMENTIER,94210,SAINT-MAUR-DES-FOSSES,94,68,2,Appartement,60,3,391
